Date,Description,Amount
2026-08-01,Company Payroll Deposit,5500.00
2026-08-02,Freelance Project Payment,800.00
2026-08-03,Walmart Supercenter,-125.50
2026-08-04,Uber Ride Downtown,-18.75
2026-08-05,McDonalds Drive Thru,-12.75
2026-08-06,Starbucks Coffee,-6.50
2026-08-07,Spotify Premium,-9.99
2026-08-08,Netflix Subscription,-15.99
2026-08-09,Trader Joe Groceries,-95.40
2026-08-10,Monthly Rent Payment,-2500.00
2026-08-11,Electric Bill Payment,-110.00
2026-08-12,Comcast Internet Bill,-85.00
2026-08-13,Lyft Ride to Office,-22.50
2026-08-14,Chipotle Mexican Grill,-14.80
2026-08-15,Steam Game Purchase,-59.99
2026-08-16,Kroger Grocery Store,-78.30
2026-08-17,Shell Gas Station,-65.00
2026-08-18,Hulu Subscription,-7.99
2026-08-19,Whole Foods Market,-112.00
2026-08-20,Dividend Income,150.00
2026-08-21,Starbucks Coffee,-8.25
2026-08-22,Uber Eats Delivery,-35.00
2026-08-23,Water Bill Payment,-45.00
2026-08-24,Verizon Phone Bill,-90.00
2026-08-25,Walmart Supercenter,-60.20
2026-08-26,AMC Movie Theater,-28.50
2026-08-27,Doordash Food Delivery,-42.00
2026-08-28,Chevron Gas Station,-70.00
2026-08-29,Bonus Salary Deposit,1200.00
2026-08-30,Emergency Car Repair,-1500.00
